ecommerce,category,original_id,name,price,original_price,discount,discount_rate
TIKI,nha-sach-tiki,90887853,"Mình Chỉ Là Người Bình Thường (Sách Tô Màu)",97500,138000,40500,29
TIKI,nha-sach-tiki,84970841,"Men Chase Women Choose - Chuyện Tình Yêu Bạn Biết Được Bao Nhiêu?",73600,109000,35400,32
TIKI,nha-sach-tiki,145289356,"Sách Atomic Habits - Thay Đổi Tí Hon, Hiệu Quả Bất Ngờ ( Những Thay Đổi Nhỏ Tạo Nên Thành Công Lớn/ Tặng kèm Bookmark)",160000,189000,29000,15
TIKI,nha-sach-tiki,9948009,"Dám Hạnh Phúc",78100,110000,31900,29
TIKI,nha-sach-tiki,186237324,"Thiên quan tứ phúc - Tập 5 (Tiểu thuyết đam mỹ) - Tặng kèm 1 bookmark 2 mặt",110700,159000,48300,30
TIKI,nha-sach-tiki,641906,"Bí Mật Của Naoko",79400,108000,28600,26
TIKI,nha-sach-tiki,104074997,"Kỹ Năng Bán Hàng Tuyệt Đỉnh (Tái Bản)",77500,120000,42500,35
TIKI,nha-sach-tiki,179546078,"Luật Hấp Dẫn - Quy Luật Về Sức Mạnh Tâm Trí Và Phát Huy Năng Lượng Tích Cực Để Làm Chủ Định Mệnh",81500,139000,57500,41
TIKI,nha-sach-tiki,100321478,"Muốn An Được An (Tái bản 2021)",43000,65000,22000,34
TIKI,nha-sach-tiki,11122712,"Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu",700000,700000,0,0
TIKI,nha-sach-tiki,197990865,"Dragon Quest - Dấu Ấn Roto (Dragon Quest Saga Emblem Of Roto) Perfect Edition - Tập 10",73300,75000,1700,2
TIKI,nha-sach-tiki,128649312,"21 Nguyên Tắc Tự Do Tài Chính (Tái Bản)",38000,55000,17000,31
TIKI,nha-sach-tiki,168559521,"Sự Trung Thực Của Xác Chết – Ghi Chép Của Một Nhà Pháp Y",68800,99000,30200,31
TIKI,nha-sach-tiki,2496281,"Đồi Gió Hú (Tái Bản)",80000,108000,28000,26
TIKI,nha-sach-tiki,179063952,"Khi Mọi Điểm Tựa Đều Mất",65200,98000,32800,33
TIKI,nha-sach-tiki,106864418,"Combo 10 Cuốn: Chuyện Xóm Gà",409000,580000,171000,29
TIKI,nha-sach-tiki,7982628,"Suối Nguồn (Tái Bản)",229000,380000,151000,40
TIKI,nha-sach-tiki,73316977,"Hành Trình Của Linh Hồn (Tái Bản 2020)",89800,129000,39200,30
TIKI,nha-sach-tiki,155550591,"Dinh Dưỡng Học Bị Thất Truyền - Dinh Dưỡng Đẩy Lùi Bệnh Tật",115000,178000,63000,35
TIKI,nha-sach-tiki,52584834,"Tư Duy Hệ Thống Trong Công Việc",61500,89000,27500,31
TIKI,nha-sach-tiki,173865570,"Một Cuốn Sách Về Chủ Nghĩa Tối Giản (Tái bản 2022)",129000,129000,0,0
TIKI,nha-sach-tiki,73515859,"Sách OSHO - Can Đảm Là Chính Mình Trong Thế Giới Hiểm Nguy",61100,88000,26900,31
TIKI,nha-sach-tiki,86517373,"Khoa Học Về Nấu Ăn - The Science Of Cooking",267000,350000,83000,24
TIKI,nha-sach-tiki,35283863,"Lược Sử Thế Giới",219000,320000,101000,32
TIKI,nha-sach-tiki,191782162,"Trên Đường Băng (Tony Buổi Sáng)",71500,105000,33500,32
